rank	word	nikl_row	pos	hanja	hanja_seen_in_course	sibling_rows
2986	가구	가구03	명	家口	yes	가구03(명):家口[C] | 가구04(명):家具[B]
3454	가장	가장07	명	家長	NO	가장01(부)[A] | 가장07(명):家長[C]
4398	가정	가정07	명	假定	NO	가정06(명):家庭[B] | 가정07(명):假定[C]
3905	간	간01	명	음식의 ~을 보다	n/a	간01(명):음식의 ~을 보다[C] | 간08(명):肝[C] | 간10(의):間. 서울과 부산 ~[B]
3620	간	간08	명	肝	NO	간01(명):음식의 ~을 보다[C] | 간08(명):肝[C] | 간10(의):間. 서울과 부산 ~[B]
5312	감	감12	명	感	yes	감01(명):과일[B] | 감12(명):感[C]
4036	감다	감다03	동	실을 ~	n/a	감다01(동):눈을 ~[B] | 감다03(동):실을 ~[C]
4669	강도	강도05	명	强度	yes	강도05(명):强度[C] | 강도06(명):强盜[B]
1148	거리	거리08	명	距離	NO	거리01(명):길~[A] | 거리02(의):반찬~[B] | 거리08(명):距離[C]
5314	걷다	걷다03	동	소매를 ~	n/a	걷다02(동):느릿느릿 ~[A] | 걷다03(동):소매를 ~[C] | 걷다04(동):빨래를 ~[C]
7985	걷다	걷다04	동	빨래를 ~	n/a	걷다02(동):느릿느릿 ~[A] | 걷다03(동):소매를 ~[C] | 걷다04(동):빨래를 ~[C]
3025	검사	검사02	명	檢事	yes	검사02(명):檢事[C] | 검사03(명):檢査[B]
2543	경기	경기05	명	景氣	NO	경기05(명):景氣[C] | 경기11(명):競技[B]
5857	고개	고개02	명	~ 너머	n/a	고개01(명):~를 돌리다[B] | 고개02(명):~ 너머[C]
9047	공기	공기07	명	空器	NO	공기06(명):空氣[B] | 공기07(명):空器[C]
3105	과	과04	명	科	yes	과04(명):科[C] | 과10(명):課[A]
8674	과거	과거02	명	科擧	NO	과거02(명):科擧[C] | 과거03(명):過去[B]
188	과정	과정03	명	過程	yes	과정03(명):過程[C] | 과정04(명):課程[C]
6018	과정	과정04	명	課程	yes	과정03(명):過程[C] | 과정04(명):課程[C]
2646	관리	관리01	명	官吏	yes	관리01(명):官吏[C] | 관리04(명):管理[B]
7705	구	구15	명	區	yes	구01(수):九[A] | 구15(명):區[C]
5080	군	군06	명	郡	yes	군04(의):君[B] | 군05(명):軍[B] | 군06(명):郡[C]
3219	군사	군사01	명	軍士	yes	군사01(명):軍士[C] | 군사04(명):軍事[C]
1613	군사	군사04	명	軍事	yes	군사01(명):軍士[C] | 군사04(명):軍事[C]
9942	금	금02	명	~을 긋다	n/a	금02(명):~을 긋다[C] | 금06(명):金[B]
1607	기	기13	명	氣	yes	기13(명):氣[C] | 기23(명):旗[C]
5730	기	기23	명	旗	yes	기13(명):氣[C] | 기23(명):旗[C]
3178	기구	기구14	명	器具	yes	기구14(명):器具[C] | 기구15(명):機構[C]
1250	기구	기구15	명	機構	yes	기구14(명):器具[C] | 기구15(명):機構[C]
5325	기능	기능01	명	技能	yes	기능01(명):技能[C] | 기능03(명):機能[C]
531	기능	기능03	명	機能	yes	기능01(명):技能[C] | 기능03(명):機能[C]
3068	기타	기타01	명	其他	NO	기타01(명):其他[C] | 기타02(명):guitar[B]
6970	김	김01	명	~이 서리다	n/a	김01(명):~이 서리다[C] | 김03(명):해초[B] | 김04(의)[C]
6553	김	김04	의		n/a	김01(명):~이 서리다[C] | 김03(명):해초[B] | 김04(의)[C]
2993	꼭	꼭02	부	힘을 주는 모양	n/a	꼭02(부):힘을 주는 모양[C] | 꼭03(부):반드시[A]
9503	꾸다	꾸다02	동	돈을 ~	n/a	꾸다01(동):꿈을 ~[B] | 꾸다02(동):돈을 ~[C]
360	남	남01	명		n/a	남01(명)[C] | 남02(명):男[B] | 남04(명):南[B]
5881	단	단06	명	段	yes	단06(명):段[C] | 단09(관):單[B]
9979	달다	달다04	동	무게를 ~	n/a	달다03(동):단추를 ~[B] | 달다04(동):무게를 ~[C] | 달다05(보):빌려 다오[C] | 달다05(동):돈을 다오[B] | 달다07(형):맛[A]
861	달다	달다05	보	빌려 다오	n/a	달다03(동):단추를 ~[B] | 달다04(동):무게를 ~[C] | 달다05(보):빌려 다오[C] | 달다05(동):돈을 다오[B] | 달다07(형):맛[A]
5090	대	대01	의	담배 한 ~	n/a	대01(의):담배 한 ~[C] | 대01(명):줄기[C] | 대06(의):代[C] | 대11(의):對. 개인 ~ 개인[B] | 대15(의):臺[B]
